Fecha,Metal,Valor,Unidad,,
12-09-17,Cobre,299.44,¢US/lb,,
12-09-17,Oro,"1,326.25",US$/ozt,,
12-09-17,Plata,17.75,US$/ozt,,
12-09-17,Molibdeno,7.257,¢US/lb,,
12-09-17,Inventarios,"218,725.00",TM,,
13-09-17,Cobre,296.06,¢US/lb,,
13-09-17,Oro,"1,332.25",US$/ozt,,
13-09-17,Plata,17.91,US$/ozt,,
13-09-17,Molibdeno,7.257,¢US/lb,,
13-09-17,Inventarios,"246,575",TM,,
14-09-17,Cobre,291.138,¢US/lb,,
14-09-17,Oro,"1,323.00",US$/ozt,,
14-09-17,Plata,17.8,US$/ozt,,
14-09-17,Molibdeno,7.257,¢US/lb,,
14-09-17,Inventarios,"276,025.00",TM,,
15-09-17,Cobre,292.88,¢US/lb,,
15-09-17,Oro,"1,325.00",US$/ozt,,
15-09-17,Plata,17.7,US$/ozt,,
15-09-17,Molibdeno,7.257,¢US/lb,,
15-09-17,Inventarios,"304,350.00",TM,,
18-09-17,Cobre,294.245,¢US/lb,,
18-09-17,Oro,"1,314.40",US$/ozt,,
18-09-17,Plata,17.53,US$/ozt,,
18-09-17,Molibdeno,7.257,¢US/lb,,
18-09-17,Inventarios,"302,925",TM,,
19-09-17,Cobre,294.472,¢US/lb,,
19-09-17,Oro,"1,308.45",US$/ozt,,
19-09-17,Plata,17.15,US$/ozt,,
19-09-17,Molibdeno,7.257,¢US/lb,,
19-09-17,Inventarios,"300,625",TM,,
20-09-17,Cobre,295.742,¢US/lb,,
20-09-17,Oro,"1,314.90",US$/ozt,,
20-09-17,Plata,17.38,US$/ozt,,
20-09-17,Molibdeno,7.257,¢US/lb,,
20-09-17,Inventarios,"313,850",TM,,
21-09-17,Cobre,290.639,¢US/lb,,
21-09-17,Oro,"1,297.35",US$/ozt,,
21-09-17,Plata,16.95,US$/ozt,,
21-09-17,Molibdeno,7.257,¢US/lb,,
21-09-17,Inventarios,"311,250",TM,,
22-09-17,Cobre,290.526,¢US/lb,,
22-09-17,Oro,"1,297.00",US$/ozt,,
22-09-17,Plata,16.97,US$/ozt,,
22-09-17,Molibdeno,7.257,¢US/lb,,
22-09-17,Inventarios,"309,050",TM,,
25-09-17,Cobre,291.025,¢US/lb,,
25-09-17,Oro,"1,295.50",US$/ozt,,
25-09-17,Plata,16.95,US$/ozt,,
25-09-17,Molibdeno,7.257,¢US/lb,,
25-09-17,Inventarios,"305,250",TM,,
26-09-17,Cobre,291.342,¢US/lb,,
26-09-17,Oro,"1,306.90",US$/ozt,,
26-09-17,Plata,17.01,US$/ozt,,
26-09-17,Molibdeno,7.257,¢US/lb,,
26-09-17,Inventarios,"305,150",TM,,
27-09-17,Cobre,291.479,¢US/lb,,
27-09-17,Oro,"1,291.30",US$/ozt,,
27-09-17,Plata,16.89,US$/ozt,,
27-09-17,Molibdeno,7.257,¢US/lb,,
27-09-17,Inventarios,"301,950",TM,,
28-09-17,Cobre,290.526,¢US/lb,,
28-09-17,Oro,"1,284.30",US$/ozt,,
28-09-17,Plata,16.82,US$/ozt,,
28-09-17,Molibdeno,7.257,¢US/lb,,
28-09-17,Inventarios,"298,425",TM,,
29-09-17,Cobre,294.155,¢US/lb,,
29-09-17,Oro,"1,286.95",US$/ozt,,
29-09-17,Plata,16.86,US$/ozt,,
29-09-17,Molibdeno,7.257,¢US/lb,,
29-09-17,Inventarios,"297,250",TM,,
02-10-17,Cobre,292.794,¢US/lb,,
02-10-17,Oro,"1,273.10",US$/ozt,,
02-10-17,Plata,16.58,US$/ozt,,
02-10-17,Molibdeno,7.257,¢US/lb,,
02-10-17,Inventarios,"295,500",TM,,
03-10-17,Cobre,292.431,¢US/lb,,
03-10-17,Oro,"1,270.10",US$/ozt,,
03-10-17,Plata,16.61,US$/ozt,,
03-10-17,Molibdeno,7.257,¢US/lb,,
03-10-17,Inventarios,"302,050",TM,,
04-10-17,Cobre,292.703,¢US/lb,,
04-10-17,Oro,"1,275.55",US$/ozt,,
04-10-17,Plata,16.825,US$/ozt,,
04-10-17,Molibdeno,7.257,¢US/lb,,
04-10-17,Inventarios,"298,525",TM,,
05-10-17,Cobre,295.334,¢US/lb,,
